=== Meter1 started at 2025-10-31 22:44:51 ===

D:\minor\minor-project\meters\meter_sim.py:88: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  self.client = mqtt.Client(client_id=f"meter_{meter_id}")
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Starting residential meter simulation
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 255
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 256
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 257
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 258: 648.47W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 259
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 260: 620.52W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 261
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 262
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 263: 476.04W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 264
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 265: 633.09W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 266
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 267
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 268: 684.13W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 269
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 270
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 271
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 272
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 273
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 274: 362.84W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 275
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 276
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 277
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 278
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 279
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 280: 746.31W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 281: 500.83W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 282: 733.13W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 283
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 284
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 285: 479.33W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 286
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 287
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 288: 470.24W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 289
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 290
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 291
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Anomaly: reverse_flow anomaly detected
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 292: -607.21W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 293
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 294: -387.28W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 295
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 296
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 297
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 298
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 299
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 300: 565.74W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 301
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 302
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 303: 731.05W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 304
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 305: 761.77W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Anomaly: network_issue anomaly detected
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 306
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 307
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 308
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 309
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 310
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 311
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 312
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 313
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 314
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 315
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 316
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 317
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 318
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 319
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 320
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 321
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 322
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 323
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 324
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 325
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 326
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 327
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 328
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 329
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 330
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 331
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Published reading 332: 471.07W
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 333
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Failed to publish reading 334
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Disconnected from MQTT broker: 7
[0x7e994d1943D223587E713ecBabf9ca1a79cf251b] Connected to MQTT broker
